Control,Int-HFD
1120.1252873563221,558.8965517241355
1543.1701149425355,1160.091954022984
1822.9873563218239,2685.7701149425257
652.8137931034493,1519.0367816091994
987.7160919540255,2384.999999999997
1789.5172413793096,510.6160919540199
1094.0931034482762,630.3356321839032
3706.9425287356485,1635.0160919540222
1386.789655172416,1514.5862068965582
2722.9885057471333,2098.1655172413775
1798.254022988495,1091.5172413793118
1511.4459770115038,3796.680459770128
993.4758620689712,1232.4620689655112
1847.195402298867,2524.3448275862106
1357.7586206896433,2837.734482758612
1239.6666666666745,5198.53448275863
1656.5873563218304,2739.3448275861974
2121.7287356321885,2722.9620689655126
870.8333333333317,3979.6551724138067
2571.609195402303,1650.5747126436763
2056.988505747123,4446.0057471264445
3549.1310344827634,992.4942528735664
1453.9724137931196,1985.035632183909
2169.6103448275767,1072.335632183912
3762.126436781607,3210.279310344807
3470.1229885057483,1295.8827586206899
2158.6689655172463,4527.603448275868
1004.4816091954011,2164.477011494251
2404.482758620695,4031.896551724129
927.760919540232,2194.6919540229846
1969.4344827586297,355.0528735632198
1610.9034482758616,
