Restraint + Control,Restraint + Mosapride
66.163676808167,71.06519291730525
100.28014671834931,40.11604313197442
80.94246157684285,97.08155929194699
72.53154148898629,152.26426992230517
77.79911858947986,52.462828582509175
112.93335807777943,44.939328601822375
55.764914306633244,59.210822414783294
115.41204871848097,49.14529513090429
65.95453045819484,82.4036234405616
52.88607886550753,51.12174599080291
66.05146782916242,84.67271852521488
62.43765042388518,40.46830321160523
86.55174759591624,109.0257961964837
90.46948405545783,105.15242283984605
,66.09934566038513
