Control,Isolation
129,93
101,83
137,121
134,129
86,117
138,88
96,104
92,125
122,122
102,95
109,102
123,120
128,122
119,125
25,106
124,119
218,179
19,142
148,240
225,111
208,150
103,116
187,97
81,228
115,114
149,124
113,240
95,143
102,235
53,63
249,114
57,
