Control,Isolation
962.0137931034565,1405.4758620689697
1072.8057471264385,840.8758620689692
770.3494252873467,1402.209195402293
863.7609195402265,1006.0517241379328
645.4942528735613,1251.4965517241371
713.6344827586184,498.97011494253184
517.406896551727,1178.905747126433
888.0643678160897,857.1839080459774
1200.367816091956,1365.9793103448287
746.3586206896542,391.68390804598687
988.7678160919523,1181.3241379310386
1217.417241379317,1073.7931034482676
1092.2666666666635,1345.0850574712683
1440.3103448275936,1198.4195402298824
209.6551724137948,1843.1816091953983
1243.705747126441,1474.7793103448246
2066.4896551723914,1548.2471264367837
253.136781609196,4061.199999999982
2377.016091954029,4463.448275862059
4075.3448275861897,3233.8000000000006
1267.3655172413694,1494.3103448275813
1827.3620689655113,3022.9333333333393
2169.6298850574703,1065.4390804597738
1549.8931034482735,5228.01379310345
2129.4827586206907,1035.0413793103412
1445.2999999999968,2714.1747126436803
1182.9931034482745,4097.379310344827
1143.1666666666722,1618.6942528735538
1135.0137931034492,3348.614942528753
484.79770114942266,772.4379310344816
2316.5586206896837,1900.5241379310278
573.6034482758566,
