Control,Isolation
103.5697695782953,128.4492054222012
70.67943098587469,164.35355191094277
99.48894943823838,107.01854454077858
100.83884845130287,103.33824000310537
158.50458424438997,109.94677911837883
99.35103117588476,150.51246431780268
143.16342118682223,122.22139307399001
140.9784407907985,105.32557648689473
110.56605444128726,108.34785142047977
134.92000615061914,150.3817604721912
122.8278251703976,130.2550565404793
107.06541092706046,111.04679702903911
103.67983651570505,107.83132460188487
110.15972322011145,106.46533803411614
379.9386765964962,117.35605688835605
106.79115415259129,109.53932402041225
56.18629819248504,70.80476509461366
671.2305461533591,70.92427131000555
80.19273831089454,41.1063270667834
45.97397688901507,95.69719388591868
62.05635929653287,85.16081420829458
121.33227627785314,98.22102553609777
64.4048816762064,102.25085821550597
148.94602405226274,40.08400752079955
105.04262244192509,113.99645328786708
85.82520539771727,92.81586262899586
115.25469953380147,42.683889057160684
135.92036015606635,88.91956503937722
128.93363081613464,40.12233303452454
255.41934215101358,198.88500120967944
47.14921539181113,106.90544159456562
237.63028754571297,
