Control,Int-HFD
100.86219097148552,167.96750462892848
107.3349773877697,81.38173223216026
75.92326304567008,57.17973776739888
238.2451935279707,106.00462671414093
98.75131475058178,70.53570555487627
47.837802449731136,266.4678414704729
128.17886293227937,128.504361362616
40.76733235268702,68.42588049898414
105.71037700498783,142.85269207569954
50.529929242170006,131.9822521888863
66.2670445498802,114.72493694040777
82.68217600402224,41.93722080823861
83.22393982257601,60.73369085706709
48.475845812484806,119.30472969689771
52.57929981374696,48.48111797334346
90.71935397043917,41.262701315051174
105.95737475946564,69.25671357300904
72.27388941055246,80.63131331720503
240.78498113959472,67.03508236286305
45.86868208438844,159.19834338818944
94.9469818952226,61.870593683251414
51.84328848624323,163.16548431396305
116.15625021395866,145.42386094414022
92.39218697821299,145.63247013020862
43.84652149297251,65.20570970791537
42.78552077031883,144.0669765405414
65.45285746132488,50.10834192437486
79.05997819945196,79.11098080255701
118.09628233303756,37.80160845909172
213.82140160877145,74.46572775554357
90.11480150916353,249.20266339234337
111.07021649761631,
