Restraint + Control,Restraint + Mosapride
2246.517578555212,1473.917548053725
973.806677755611,4187.762870943918
1917.290031756453,2144.483418419
2505.310915411912,1341.359889713942
2766.68437544258,3953.1422573409
1899.63140188959,4550.876875797914
2689.156599645132,3481.28399987082
1283.937712400908,4471.896937475824
2454.234834555326,2844.113402863485
2463.17514137505,3159.882021043086
2413.098027036928,1955.755914812775
1743.354158143244,3620.5404943123
2060.733770308386,1746.970686047103
1782.734640894816,1237.772475388
,2229.80381378316
