Restraint + Control,Restraint + Mosapride
204.166860856349,150.168812371558
165.814187079668,104.631700637983
80.480450360337,173.268144715112
63.824823950417,123.349054425489
109.329188090051,189.788201752817
222.265799759189,47.771231811494
156.772292378591,102.906604283489
136.492043568287,202.80214598868
97.767304368317,69.438842446543
49.733303895919,48.50921040168
253.757039307384,109.037837461801
70.053132344037,251.003933150787
59.460967089981,116.396330676507
249.108563066693,72.825317671522
,188.590937930858
