Control,Restraint
103.84509160820404,87.86877266349227
60.411888074501434,68.89492642604804
61.792783528149776,88.42395145011267
70.54708342340929,67.35275171879222
145.5851607274043,91.76376267455207
64.11657206857929,73.27972758104772
68.14790547094678,66.62025500064011
64.15049267959866,88.54602311763641
55.94548888627521,75.31193344558861
88.47894225113423,77.44698429534374
53.17289634809643,80.94628791258607
66.82222430544977,68.80989828379347
68.3810929778942,114.12134578121236
59.262821560708666,90.52826364003708
53.71401682118223,88.73176678786429
78.95519955071073,49.27588946919249
124.25836050043841,97.22105327295307
45.14623531160771,72.35421713449297
71.64394229244976,88.67603991809173
47.13990895535608,60.975022836358995
43.401683082114246,67.86961220289932
53.07087572959593,
65.35529398983564,
