Control,Int-HFD
131,80
119,166
167,209
57,121
133,174
260,52
97,104
260,128
123,90
230,93
191,114
167,248
159,213
260,98
250,237
145,225
121,170
172,139
55,150
260,80
130,161
204,79
111,83
153,91
242,171
241,82
186,197
169,155
100,250
61,163
138,56
107,
