Control,Isolation
204.130418112922,1196.533800969901
137.030228903179,63.288386556942
71.999459767942,83.833287274811
84.96492365675,126.799138528696
205.029426125324,364.677145357863
75.692814065456,396.157185484533
71.607290305376,382.442707117561
374.55353181701,462.021002663032
130.454319178948,71.467778936258
82.405983812886,154.247894234914
174.710636955232,107.365533443266
181.516527737104,233.401648532705
101.000736646952,76.189975164622
78.972617835297,89.669467447968
5090.45953663518,202.202758786348
100.72187389778,63.634848109262
121.568987397258,105.765417861886
801.785323266348,90.623668092465
180.340754847694,81.134742365815
66.790935326592,551.984102252656
93.430244738503,107.690444034234
90.990662562044,87.35533160278
200.351097642952,107.190516997808
606.109347559254,76.242692909321
110.43799465554,121.196328724905
174.017483873955,218.64887554523
91.293154307328,71.471833182963
246.547643451785,184.651016415842
286.685015347012,88.017820531544
94.351792003269,732.131879731426
415.4586919795,186.491629969467
126.123423443428,
