Control,Restraint
135.569295295281,267.53087710822
143.725882172585,132.979136314243
90.152765893145,143.008342271205
99.824652858078,210.983722771052
215.971549698152,264.10777002573
74.696946532931,83.197850931901
177.259086546255,125.269392738119
45.186677240999,47.832976616919
258.407184983371,54.227426280268
139.221039944096,148.282545005204
162.705080035375,183.684506784193
102.907289718278,158.401898927987
257.410794226453,168.239922028733
109.826110400027,174.236636348069
275.476585603319,178.837116637733
253.842014910188,169.900401893537
126.20365746785,160.958639483433
220.921474294737,279.691875500139
267.332929462427,161.59001779044
128.685404749122,201.005614391761
214.574471538654,86.638587196358
82.417286054697,
143.402972908225,
