Control,Int-HFD
8.55057471264368,
12.96781609195410,6.98620689655169
10.91609195402290,6.98850574712641
11.45287356321840,12.85057471264370
7.42643678160921,12.55402298850580
6.88275862068965,13.70689655172410
11.27931034482760,9.81954022988500
14.25747126436790,6.06091954022984
11.27471264367820,12.77356321839080
11.83908045977010,16.82873563218400
9.41494252873558,22.56091954022990
9.05057471264374,9.57471264367817
6.24827586206900,15.30919540229890
7.10459770114949,5.78620689655170
5.43103448275857,25.75862068965520
8.54942528735638,11.97356321839080
13.69080459770110,23.10459770114950
12.33563218390810,16.11379310344820
15.83333333333330,19.58965517241380
9.89080459770117,26.53103448275870
15.82298850574710,20.63218390804600
17.39770114942530,27.61494252873570
13.09885057471280,12.56321839080460
14.18045977011490,23.91609195402300
15.54597701149420,11.78390804597710
14.39885057471260,18.77356321839070
11.60574712643680,15.80344827586210
5.94367816091953,22.98275862068970
24.04482758620690,13.96436781609190
15.20919540229890,16.12758620689650
14.27126436781620,13.46436781609190
15.05517241379310,6.34022988505750
