Control,Restraint
12.34801292631600,14.11242334304200
10.76826556269300,11.17564673948100
12.17021644889700,8.68641817700000
14.07859382376400,9.28007909000000
13.86361532661800,6.23995228200000
18.20499751528600,14.53616725722600
12.38072599510800,10.87197954116900
12.88338370367500,13.17865857147000
15.98848643055100,9.18171937100000
11.33224246810000,16.40537319712900
17.72563631535000,
13.51505343501900,10.39272194342600
13.65393621293500,23.43723480141700
11.39821929074500,12.15729763924900
17.12462035423500,7.64422735700000
12.78407688659600,13.70224342717600
12.45761105926700,19.33623972386100
17.80852684657000,13.09823503443500
10.64215865118600,11.31259691992000
15.50356540421500,10.88753706292800
12.52817504799900,6.77519281800000
15.26234964649400,16.77840849265500
13.18504566197600,
