"Restraint+Control","Restraint+Mosapride"
12.55037753382800,8.14319087300000
7.32185472000000,16.48725539741700
12.53130739710100,17.15586734735200
15.37000561602400,16.16096252667400
19.08058189960400,20.27252439662000
17.42781102651000,20.87558199907300
12.99109468427600,19.34046666594900
11.36228064071600,22.69998445419200
13.71080913159400,20.46124750261500
10.94744507277800,14.42868502759400
13.71078424452800,13.48797182629500
8.63046612900000,13.92515574735500
14.82542280797400,15.73847464907300
13.10834294775600,9.90217980300000
,12.38779896546200
