"X (Manual)","Y (AI)"
12.44,6.98620689655169
13.77,6.98850574712641
15.56,12.85057471264370
16.63,12.55402298850580
15.79,13.70689655172410
15.82,9.81954022988500
11.52,6.06091954022984
11.69,8.55057471264368
13.87,12.96781609195410
13.57,10.91609195402290
14.47,11.45287356321840
10.78,7.42643678160921
11.10,6.88275862068965
13.82,11.27931034482760
15.30,14.25747126436790
14.81,12.77356321839080
21.84,16.82873563218400
24.76,22.56091954022990
13.45,9.57471264367817
18.94,15.30919540229890
12.18,5.78620689655170
26.59,25.75862068965520
17.43,11.97356321839080
13.77,11.27471264367820
14.84,11.83908045977010
12.67,9.41494252873558
11.10,9.05057471264374
9.87,6.24827586206900
10.06,7.10459770114949
8.88,5.43103448275857
11.24,8.54942528735638
15.50,15.11264367816100
10.72,7.45747126436788
11.92,10.62183908045980
11.98,10.13103448275870
12.55,11.58850574712640
8.46,5.62298850574706
9.52,6.44597701149423
10.15,7.79885057471266
10.88,7.50574712643676
11.67,10.69655172413790
9.29,5.67011494252877
8.67,5.17126436781608
8.26,5.38965517241382
12.17,11.33563218390800
9.09,6.85747126436782
11.64,9.65287356321837
11.87,9.83908045977013
14.06,11.19655172413790
6.73,4.12298850574723
10.25,7.31724137931034
10.93,9.07126436781608
12.67,11.58160919540230
12.33,8.94827586206890
12.84,9.89770114942534
12.69,11.02528735632190
11.16,8.53333333333331
13.41,12.10344827586210
10.23,9.58735632183906
17.01,17.38850574712640
10.96,8.38620689655179
12.75,10.02988505747130
13.91,12.39310344827580
15.10,14.11242334304200
12.20,11.17564673948100
11.14,8.68641817700000
11.14,12.34801292631600
10.36,10.76826556269300
13.20,12.17021644889700
12.44,14.07859382376400
12.01,13.86361532661800
17.51,18.20499751528600
13.44,12.38072599510800
12.86,12.88338370367500
8.14,9.28007909000000
9.35,6.23995228200000
13.49,14.53616725722600
7.46,10.87197954116900
14.72,15.98848643055100
12.43,11.33224246810000
15.81,17.72563631535000
13.67,13.17865857147000
10.78,9.18171937100000
16.22,16.40537319712900
13.35,13.69080459770110
18.44,23.10459770114950
15.94,16.11379310344820
11.65,12.33563218390810
13.34,15.83333333333330
16.21,19.58965517241380
21.45,26.53103448275870
11.09,9.89080459770117
16.22,20.63218390804600
15.70,15.82298850574710
12.41,17.39770114942530
25.26,27.61494252873570
15.10,12.56321839080460
8.86,13.09885057471280
12.21,14.18045977011490
20.44,23.91609195402300
9.91,15.54597701149420
14.40,11.78390804597710
17.94,18.77356321839070
13.41,14.39885057471260
12.66,11.60574712643680
16.13,15.80344827586210
13.10,22.98275862068970
9.28,5.94367816091953
10.66,13.96436781609190
20.71,24.04482758620690
15.25,15.20919540229890
8.33,16.12758620689650
9.38,13.46436781609190
11.02,14.27126436781620
10.46,15.05517241379310
11.77,6.34022988505750
13.55,9.47931034482748
15.54,8.64942528735633
28.68,28.59999999999990
12.71,13.32298850574720
14.32,16.06091954022990
16.43,18.59770114942520
19.80,29.13333333333330
15.60,18.11264367816080
12.98,9.96206896551721
8.54,6.09310344827581
12.30,17.74137931034480
12.52,26.05977011494260
8.97,10.98390804597700
7.59,11.60229885057470
14.71,19.13448275862070
19.41,22.92988505747130
12.89,18.51724137931040
7.83,9.07931034482755
17.03,21.88850574712650
6.56,9.69999999999998
11.71,10.46896551724140
11.17,17.07241379310340
9.19,12.03333333333340
10.81,11.31954022988500
7.91,11.12758620689660
7.02,9.14712643678156
11.25,14.24942528735640
8.49,12.26091954022990
8.83,9.30344827586218
7.16,10.06321839080450
15.21,16.67126436781600
13.25,13.51505343501900
11.68,10.39272194342600
20.66,23.43723480141700
13.69,13.65393621293500
9.48,11.39821929074500
9.93,12.15729763924900
11.23,7.64422735700000
15.69,17.12462035423500
15.39,13.70224342717600
15.35,12.78407688659600
12.27,12.45761105926700
18.68,19.33623972386100
14.68,13.09823503443500
16.49,17.80852684657000
10.61,10.64215865118600
15.33,11.31259691992000
8.75,10.88753706292800
13.22,15.50356540421500
13.01,12.52817504799900
6.82,6.77519281800000
15.57,16.77840849265500
15.20,15.26234964649400
13.46,13.18504566197600
