Control,Int-HFD
13.69080459770110,23.10459770114950
12.33563218390810,16.11379310344820
15.83333333333330,19.58965517241380
9.89080459770117,26.53103448275870
15.82298850574710,20.63218390804600
17.39770114942530,27.61494252873570
13.09885057471280,12.56321839080460
14.18045977011490,23.91609195402300
15.54597701149420,11.78390804597710
14.39885057471260,18.77356321839070
11.60574712643680,15.80344827586210
5.94367816091953,22.98275862068970
24.04482758620690,13.96436781609190
15.20919540229890,16.12758620689650
14.27126436781620,13.46436781609190
15.05517241379310,6.34022988505750
