Control,Isolation
7.45747126436788,15.11264367816100
10.62183908045980,10.13103448275870
5.62298850574706,11.58850574712640
6.44597701149423,7.79885057471266
7.50574712643676,10.69655172413790
5.17126436781608,5.67011494252877
5.38965517241382,11.33563218390800
9.65287356321837,6.85747126436782
9.83908045977013,11.19655172413790
7.31724137931034,4.12298850574723
9.07126436781608,11.58160919540230
9.89770114942534,8.94827586206890
8.53333333333331,11.02528735632190
12.10344827586210,9.58735632183906
8.38620689655179,17.38850574712640
10.02988505747130,12.39310344827580
9.47931034482748,8.64942528735633
13.32298850574720,28.59999999999990
16.06091954022990,18.59770114942520
18.11264367816080,29.13333333333330
6.09310344827581,9.96206896551721
17.74137931034480,26.05977011494260
11.60229885057470,10.98390804597700
19.13448275862070,22.92988505747130
18.51724137931040,9.07931034482755
9.69999999999998,21.88850574712650
10.46896551724140,17.07241379310340
12.03333333333340,11.31954022988500
11.12758620689660,14.24942528735640
9.14712643678156,12.26091954022990
9.30344827586218,16.67126436781600
10.06321839080450,
