Control,Int-HFD
8.55057471264368,
12.96781609195410,6.98620689655169
10.91609195402290,6.98850574712641
11.45287356321840,12.85057471264370
7.42643678160921,12.55402298850580
6.88275862068965,13.70689655172410
11.27931034482760,9.81954022988500
14.25747126436790,6.06091954022984
11.27471264367820,12.77356321839080
11.83908045977010,16.82873563218400
9.41494252873558,22.56091954022990
9.05057471264374,9.57471264367817
6.24827586206900,15.30919540229890
7.10459770114949,5.78620689655170
5.43103448275857,25.75862068965520
8.54942528735638,11.97356321839080
